OTU;taxo_1;taxo_2;taxo_3;genus;specie;taxo_3;genus;specie;LSA_feb_16;LCL_feb_16;LSC_aug_16;LCT_oct_16;LCL_sep_16;LSA_oct_16;LSC_may_16;LSA_aug_16;LSC_oct_16;LCT_jul_17;LCL_nov_16;LCL_jul_17;LSA_may_17;LSC_feb_17;LCL_sep_17_F;LCL_sep_17;LCT_sep_17;LCT_sep_17_F;LSA_sep_17;LSA_sep_17_F;LSC_24_aug_17;LSC_jul_17;LSC_jul_17_F;LSC_31_aug_17;LSC_31_aug_17_F;LCL_jul_17_F;LCT_jul_17_F;LCL_may_17;LCL_mar_17;LSC_mar_17;LCL_jan_17;LCT_mar_17;LSA_feb_17;LCL_feb_17;LCT_jan_17;LCT_feb_17;LSA_mar_17;LSC_may_17;LSA_jan_17;LSC_jan_17;LCT_may_17;LSC_mar_16;LSA_jul_17
338;Eukaryota;Alveolata;Apicomplexa;Colpodella;edax;Apicomplexa;Colpodella;edax;0;0;7;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;1;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
364;Eukaryota;Alveolata;Apicomplexa;Colpodella;edax;Apicomplexa;Colpodella;edax;0;0;70;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
358;Eukaryota;Alveolata;Ciliophora;Cyclidium;glaucoma;Ciliophora;Cyclidium;glaucoma;0;0;0;0;0;30;0;21;0;0;0;0;37;3;0;0;0;0;43;45;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;2;0;0;0;0;0;1
15;Eukaryota;Alveolata;Ciliophora;Halteria;grandinella;Ciliophora;Halteria;grandinella;0;0;0;0;0;0;0;1;0;0;0;1;0;13;0;0;0;0;0;1;0;0;0;1;0;0;0;0;35;38;0;2;0;657;0;0;0;1;0;28;0;254;0
84;Eukaryota;Alveolata;Ciliophora;Halteria;grandinella;Ciliophora;Halteria;grandinella;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;22;0;1;0;341;0;0;0;0;0;26;0;117;0
297;Eukaryota;Alveolata;Ciliophora;Obertrumia;georgiana;Ciliophora;Obertrumia;georgiana;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85
373;Eukaryota;Alveolata;Ciliophora;Obertrumia;georgiana;Ciliophora;Obertrumia;georgiana;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;551
799;Eukaryota;Alveolata;Ciliophora;Obertrumia;georgiana;Ciliophora;Obertrumia;georgiana;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;55
600;Eukaryota;Alveolata;Ciliophora;Stokesia;vernalis;Ciliophora;Stokesia;vernalis;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
209;Eukaryota;Alveolata;Ciliophora;Tintinnidium;fluviatile;Ciliophora;Tintinnidium;fluviatile;0;0;0;0;0;0;0;6;0;0;0;0;308;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
592;Eukaryota;Alveolata;Ciliophora;Vorticella;aequilata;Ciliophora;Vorticella;aequilata;0;0;1;0;0;0;0;10;0;0;0;0;6;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;10;0;0;2
374;Eukaryota;Alveolata;Ciliophora;Vorticella;microstoma;Ciliophora;Vorticella;microstoma;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164
565;Eukaryota;Alveolata;Ciliophora;Vorticella;microstoma;Ciliophora;Vorticella;microstoma;0;0;0;0;0;0;0;0;1;0;0;0;54;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Eukaryota;Alveolata;Dinoflagellata;Borghiella;tenuissima;Dinoflagellata;Borghiella;tenuissima;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;414;0;2;2;0;2;0;1;33;0;17;0;0;2434;0
259;Eukaryota;Alveolata;Dinoflagellata;Borghiella;tenuissima;Dinoflagellata;Borghiella;tenuissima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;2;0;0;0;0;458;0
430;Eukaryota;Alveolata;Dinoflagellata;Borghiella;tenuissima;Dinoflagellata;Borghiella;tenuissima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;1;0;0;1;0;206;0
124;Eukaryota;Alveolata;Dinoflagellata;Chytriodinium;roseum;Dinoflagellata;Chytriodinium;roseum;0;0;0;0;0;0;0;64;0;1;0;0;0;0;0;0;0;0;58;14;0;0;0;0;0;0;0;0;2;1;0;10;0;0;0;0;0;0;0;1;0;325;24
727;Eukaryota;Alveolata;Dinoflagellata;Naiadinium;polonicum;Dinoflagellata;Naiadinium;polonicum;0;0;0;0;0;1;0;33;0;0;0;0;3;0;0;0;0;0;17;11;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
81;Eukaryota;Archaeplastida;Chlorophyta;Hamakko;caudatus;Chlorophyta;Hamakko;caudatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;62;96;0;0;0;1;0;1;0
542;Eukaryota;Archaeplastida;Chlorophyta;Hamakko;caudatus;Chlorophyta;Hamakko;caudatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;99;166;0;0;0;0;0;2;0
819;Eukaryota;Archaeplastida;Chlorophyta;Phacotus;lenticularis;Chlorophyta;Phacotus;lenticularis;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
821;Eukaryota;Archaeplastida;Chlorophyta;Phacotus;lenticularis;Chlorophyta;Phacotus;lenticularis;0;0;0;0;0;0;0;23;0;0;0;0;1;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41
842;Eukaryota;Archaeplastida;Chlorophyta;Phacotus;lenticularis;Chlorophyta;Phacotus;lenticularis;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
133;Eukaryota;Hacrobia;Centroheliozoa;Pterocystis;foliacea;Centroheliozoa;Pterocystis;foliacea;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;7;2;22;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;Eukaryota;Hacrobia;Cryptophyta;Cryptomonas;curvata;Cryptophyta;Cryptomonas;curvata;0;0;1;0;74;9;19;2;6;0;8;59;9;33;61;14;0;8;3;1;1;0;0;0;0;26;57;5;1;25;14;6;66;5;45;21;13;5;50;42;0;5;10
