OTU;taxo1;taxo2;taxo3;taxo4;taxo5;taxo6;taxo7;taxo8;LSA_feb_16;LCL_feb_16;LSC_aug_16;LCT_oct_16;LCL_sep_16;LSA_oct_16;LSC_may_16;LSA_aug_16;LSC_oct_16;LCT_jul_17;LCL_nov_16;LCL_jul_17;LSA_may_17;LSC_feb_17;LCL_sep_17_F;LCL_sep_17;LCT_sep_17;LCT_sep_17_F;LSA_sep_17;LSA_sep_17_F;LSC_24_aug_17;LSC_jul_17;LSC_jul_17_F;LSC_31_aug_17;LSC_31_aug_17_F;LCL_jul_17_F;LCT_jul_17_F;LCL_may_17;LCL_mar_17;LSC_mar_17;LCL_jan_17;LCT_mar_17;LSA_feb_17;LCL_feb_17;LCT_jan_17;LCT_feb_17;LSA_mar_17;LSC_may_17;LSA_jan_17;LSC_jan_17;LCT_may_17;LSC_mar_16;LSA_jul_17
416;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Nitrosomonadaceae;966-1;Unclassified;Unclassified;0;0;12;0;146;4;0;10;1;1;1;6;0;0;4;28;0;0;1;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
338;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Burkholderiaceae;AAP99;Unclassified;Unclassified;0;0;50;1;0;0;14;0;20;0;2;0;0;1;0;1;0;0;0;0;22;24;30;9;40;2;56;0;0;0;0;0;0;0;1;0;0;4;0;0;1;0;0
594;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Agitococcus;lubricus;Unclassified;0;1;1;0;1;0;10;0;0;1;3;0;2;0;0;0;0;2;0;0;1;2;0;0;3;0;0;3;1;1;1;0;0;0;0;0;0;6;0;0;0;1;0
80;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Hongiella;Unclassified;3;1;0;0;354;393;0;747;0;0;772;143;83;0;22;117;0;0;56;31;2;0;0;0;0;1;1;32;6;0;65;0;6;21;0;0;2;0;8;0;0;0;82
648;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Unclassified;Unclassified;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;28;0;41;0;0;0;0
431;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;alpha I cluster;Unclassified;Unclassified;0;52;16;5;10;0;88;0;24;5;89;16;4;43;0;4;9;0;0;0;10;12;3;13;22;1;5;14;9;62;20;3;0;30;4;3;3;120;0;17;12;232;0
865;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon;MDT14a;Unclassified;0;0;0;0;4;116;0;72;1;0;1;0;1;0;0;0;0;0;93;57;1;0;3;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
131;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon;NIES81;Unclassified;0;0;28;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;1;68;49;128;128;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165;Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;Aphanizomenon;NIES81;Unclassified;0;0;11;0;0;0;1;0;74;0;0;0;0;0;0;1;0;0;0;0;57;48;112;107;179;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2
731;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Aquabacterium;Unclassified;Unclassified;0;2;3;5;20;1;1;2;2;1;6;0;3;2;1;2;0;1;0;0;3;2;1;0;2;1;2;0;0;2;1;4;0;1;2;18;0;0;0;0;1;1;1
319;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Arcicella;Unclassified;Unclassified;0;0;0;9;0;0;150;0;0;2;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;12;1;5;0;0;0;2;4;145;0;0;306;23;0
670;Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter;Unclassified;Unclassified;0;3;0;0;0;133;0;4;0;0;19;1;0;1;0;2;0;0;3;0;0;0;0;1;0;0;0;33;16;5;1;0;2;8;0;0;10;1;0;1;0;5;0
737;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;Unclassified;Unclassified;59;0;0;0;0;1;0;6;0;0;1;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;4;0;14;0;0;0;1
599;Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;Unclassified;Unclassified;0;1;0;0;8;1;24;2;0;0;15;1;3;2;3;11;0;0;1;7;2;0;1;1;6;32;1;36;2;0;2;3;4;0;2;0;0;5;11;0;1;0;0
