ID;Lake;Year;Month;Season;Month_ID;Cond_col;Cond_02m;Temp_col;Temp_02m;Water_color;Alcalnity;DIC;TN;TP;DOC;SO4;Al;Ca;Cl;Cu;Fe;K;Mg;Mn;Na;S;Si;Zn
LCL_feb_16;Clement;2016;February;Winter;1;881.7;650;3.53;3.37;15.59;79.95;23.18;0.61;4;4.3;7.8;0.01;27.7;116;0.002;0.1;1.6;2.99;0.17;66.4;2.91;2.14;0.01
LCL_feb_16;Clement;2016;February;Winter;1;881.7;650;3.53;3.37;16.44;84.01;22.68;0.58;10.05;4.8;7.6;0.01;29.4;121;0;0.09;1.68;3.15;0.17;70.4;3.05;2.09;0.01
LCL_feb_16;Clement;2016;February;Winter;1;881.7;650;3.53;3.37;16.26;90.13;24.33;0.59;8.29;5;8.43;0.02;31.2;135;0;0.09;1.78;3.34;0.2;78.1;3.17;2.08;0.01
LSA_feb_16;Saint-Augustin;2016;February;Winter;1;755;665;1.87;1.29;15.78;161.74;38.82;0.97;75.46;4.9;42.9;0.01;56.4;104;0.01;0.01;2.86;9.44;0;68.3;14.64;2.63;0
LSA_feb_16;Saint-Augustin;2016;February;Winter;1;755;665;1.87;1.29;26.02;160.17;38.44;0.11;88.52;4.8;43.1;0;56.5;105;0;0.01;2.85;9.26;0;68;14.61;2.62;0
LSA_feb_16;Saint-Augustin;2016;February;Winter;1;755;665;1.87;1.29;17.57;159.01;36.95;0.11;96.72;4.8;42.1;0;56;104;0;0.01;2.81;9.23;0;66.8;14.55;2.59;0
LSC_mar_16;Saint-Charles;2016;March;Winter;2;118;120;0.63;0.3;10.96;15.44;4.48;0.81;13.22;2.1;4.73;0.04;6.45;19;0;0.16;0.7;1.27;0.02;10.7;1.73;3.5;0.01
LSC_mar_16;Saint-Charles;2016;March;Winter;2;118;120;0.63;0.3;11.9;15.84;5.23;0.8;12.44;2.1;4.65;0.04;6.41;19;0;0.17;0.7;1.25;0.02;10.6;1.7;3.52;0.01
LSC_mar_16;Saint-Charles;2016;March;Winter;2;118;120;0.63;0.3;13.7;15.36;4.61;0.73;8.62;2.1;4.48;0.05;6.3;22;0;0.17;0.72;1.24;0.02;11.9;1.66;3.4;0.02
LSC_may_16;Saint-Charles;2016;May;Summer;3;59.33;65;10.26;15.39;5.29;13.12;3.67;0.34;7.1;2.4;3.47;0.04;4.31;11.6;0;0.08;0.49;0.86;0.02;6.28;1.16;2.21;0.01
LSC_may_16;Saint-Charles;2016;May;Summer;3;59.33;65;10.26;15.39;7.83;11.04;3.09;0.32;7.3;2.5;3.37;0.05;4.17;11.4;0;0.1;0.47;0.82;0.02;5.85;1.1;2.15;0.01
LSC_may_16;Saint-Charles;2016;May;Summer;3;59.33;65;10.26;15.39;6.1;10.4;2.91;0.31;8.24;2.5;3.37;0.05;4.16;11.3;0;0.1;0.47;0.82;0.02;5.79;1.1;2.15;0
LSA_aug_16;Saint-Augustin;2016;August;Summer;4;694;690;23.26;23.49;8.22;126.1;30.26;1.16;141;4.4;29.2;0.03;44.6;114;0;0.01;2.48;8.25;0;73.4;10.5;2.13;0
LSA_aug_16;Saint-Augustin;2016;August;Summer;4;694;690;23.26;23.49;10.16;124.13;29.79;1.11;132;4.5;28.78;0.03;44.4;111;0;0.01;2.47;8.11;0;73.5;10.3;2.09;0
